python	python3	pypy	jython	ipy
0.000169992	0.000535011	0.001214027	0.007999897	0.0117
8.11E-06	1.41E-05	2.00E-05	0.001000166	0.0011
0.023725986	0.000815868	0.009105921	0.049999952	0.1098
0.39586997	0.450237989	0.062599182	0.463999987	0.5374
2.79E-05	5.70E-05	0.000185013	0.000999928	0.0046
0.306621075	0.622550964	0.092175961	0.608999968	0.2023
0.008584023	0.00438118	0.005945921	0.054999828	0.0158
0.030990839	0.062912941	0.003356218	0.121999979	0.0367
0.504982948	0.549880028	0.147465944	1.26699996	0.7659
0.002161026	0.002633095	0.006333113	0.013000011	0.018
4.8696661	8.657835007	0.927860975	4.062999964	6.4942
2.00E-05	2.00E-05	4.70E-05	0.000999928	0.0039
0.00019908	0.000108957	0.002613068	0.002000093	0.0033
0.001115084	0.001717091	0.011757135	0.012000084	0.0064
6.48E-05	8.70E-05	0.000185013	0.000999928	0.0049
0.000530958	0.000618219	0.039630175	0.082000017	0.009
0.000117064	6.29E-05	0.000650167	0.000999928	0.0028
0.015326977	0.020746946	0.014344931	0.088000059	0.0362
0.011593103	0.01384902	0.01294899	0.069999933	0.0165
3.292091846	5.239949942	0.158324957	2.815000057	3.6298
0.031708956	0.032361984	0.132151842	0.273999929	0.2376
0.024006128	0.031084061	0.01371789	0.07400012	0.0347
1.203996181	1.735521078	0.301538944	1.676000118	0.8519
0.018041134	0.012065172	0.027867079	0.047999859	0.028
5.390734911	5.375870943	0.587961197	5.040999889	2.8261
0.000209093	0.000432014	0.001940966	0.000999928	0.0032
0.200806141	0.278251886	0.076156139	0.628999949	0.2275
0.001287937	0.002916098	0.006595135	0.006999969	0.0063
4.433405161	6.748492002	0.600344896	3.511999846	2.5952
2.300213814	2.147888184	0.163844109	4.883999825	4.3317
0.585837126	0.610093832	0.07367301	1.095000029	0.7664
1.965016842	3.354291916	0.487684965	2.220999956	1.2345
0.048264027	0.041840076	0.035173893	0.16899991	0.0645
5.431461096	9.885065079	0.347091913	3.27699995	5.3686
0.316230059	0.42505312	0.328294992	0.363999844	0.4624
2.246703863	4.08613801	0.288646936	1.891000032	2.107
0.005498171	0.007430077	0.018625021	0.034000158	0.0168
18.64808512	23.59359384	3.289519072	22.63899994	27.1262
0.085294008	0.129260063	0.027830124	0.237999916	0.0866
0.04507494	0.096797943	0.119933128	0.036999941	0.0316
2.705703974	4.339263916	0.897742987	2.594000101	2.822
0.00356698	0.002828121	0.006378889	0.055000067	0.0127
1.170413017	1.182603121	0.279139996	0.979000092	1.3716
0.647441149	0.850324154	0.352955818	0.779000044	0.7606
9.559597015	13.82338786	1.682529926	5.997999907	8.4523
0.547856092	0.513621807	0.155108929	0.803999901	1.0745
0.049704075	0.014074802	0.097296953	0.197999954	0.189
